post_id,topic_code
16udcq9,reactions_and_reviews
16nv2s5,reactions_and_reviews
16mxke3,technical_aspects
16bxho1,technical_aspects
16a7ymz,comparison
166ort5,skip
15ozx7i,reactions_and_reviews
15nwapt,reactions_and_reviews
15jay2o,reactions_and_reviews
15gpnz1,reactions_and_reviews
15fw1b5,reactions_and_reviews
15dofke,technical_aspects
15d5u5a,reactions_and_reviews
15cao1e,reactions_and_reviews
15abt3i,comparison
15a6vmk,cultural_impact
159fog5,reactions_and_reviews
158uz8e,technical_aspects
158safe,reactions_and_reviews
156mmg2,reactions_and_reviews
13rinl2,technical_aspects
16gz2t0,reactions_and_reviews
164ooqc,comparison
15sqx4c,reactions_and_reviews
15o68ij,reactions_and_reviews
15dtyml,reactions_and_reviews
15cd0qf,reactions_and_reviews
155ag1m,reactions_and_reviews
153z01q,reactions_and_reviews
14mnls2,technical_aspects
16bsq00,reactions_and_reviews
15odqbj,reactions_and_reviews
15fyyz1,reactions_and_reviews
15dq5k9,comparison
15d8ap3,technical_aspects
15cvh1d,comparison
15btwom,technical_aspects
154p2e0,reactions_and_reviews
154f77x,technical_aspects
1548p8x,technical_aspects
153y9kv,anticipation
153dcxm,reactions_and_reviews
152segi,technical_aspects
152ho9l,technical_aspects
15236w5,technical_aspects
151y8re,anticipation
14zz8dl,anticipation
14zsg3d,comparison
14yohi2,anticipation
14xxjgp,technical_aspects
14vc1k0,technical_aspects
14ukpjt,anticipation
14u51n6,technical_aspects
14pz03b,anticipation
14nna27,skip
14eno04,reactions_and_reviews
14c8to4,anticipation
145ahr4,technical_aspects
140ye99,technical_aspects
13qy5hh,anticipation
13fbf9r,reactions_and_reviews
13779le,reactions_and_reviews
16uu5uq,box_office
16ps8kz,box_office
16h7obd,box_office
16fk3x5,box_office
16dfvv9,box_office
16bm33l,box_office
16b6o93,box_office
16a3mni,box_office
168730l,box_office
1673eeg,box_office
165zu8g,box_office
165sk0o,box_office
164y47e,box_office
164xdis,technical_aspects
164451o,box_office
163v5cs,box_office
1636rbj,box_office
162zdm7,box_office
161wmht,box_office
161muii,box_office
161boow,box_office
15uqy9d,box_office
15rpg0q,box_office
15ri232,box_office
15rc57v,box_office
15nwjdi,box_office
15kpn9d,box_office
15kntk4,box_office
15iwyjd,box_office
15iwvwp,box_office
15hdjvj,box_office
15hclb7,box_office
15gohnf,box_office
15ghd9f,box_office
15f2k5g,box_office
15dyzay,box_office
15cab0r,box_office
15bu5tt,box_office
15bfgfc,box_office
15aso5q,box_office
15as31d,box_office
158s9ia,box_office
158mmnk,box_office
158fzcw,box_office
158beiz,box_office
158al6h,box_office
15802l5,box_office
157yt9r,box_office
157kjux,box_office
157jmle,box_office
157gitf,box_office
157av2s,box_office
156thgb,box_office
156de9s,box_office
156bjr1,box_office
155yb7q,box_office
155u8tr,box_office
155tt66,box_office
155s9ik,box_office
155pctb,box_office
155myaq,box_office
155fy9l,reactions_and_reviews
155cffr,box_office
155c1sk,box_office
1553rgf,box_office
154ygq6,box_office
154g4v7,reactions_and_reviews
1544mb5,box_office
15420pb,box_office
153z3n8,reactions_and_reviews
1529kzx,technical_aspects
14zups9,box_office
14xdey2,box_office
14x8so7,box_office
14x4ofs,reactions_and_reviews
14tghmd,box_office
14sip79,anticipation
14oh3jt,box_office
14o0x8v,box_office
14mfik2,cultural_impact
14mb57d,box_office
14m9b32,box_office
14jzspe,box_office
14bv1o0,box_office
149ie9p,box_office
143gcj6,box_office
142y8zr,anticipation
13y4arv,box_office
13y2zqx,box_office
13y0k6o,box_office
13xt2bo,technical_aspects
13x81hg,box_office
13nvlx8,technical_aspects
13eyo1g,anticipation
1354k7j,box_office
16uu2wq,reactions_and_reviews
16rdspd,reactions_and_reviews
16o9z9l,comparison
16lygvo,reactions_and_reviews
16lu39p,cultural_impact
16dbe5n,anticipation
169mpso,comparison
169eeld,comparison
168735l,anticipation
167g29f,skip
167c0m7,reactions_and_reviews
1602xp1,anticipation
15wdsoz,skip
15udnp7,comparison
15thvp6,reactions_and_reviews
15sw5hi,comparison
15sdui2,skip
15rwxut,comparison
15nvy0o,skip
15mvj5v,box_office
15mrtbm,reactions_and_reviews
15maary,cultural_impact
15ka53h,reactions_and_reviews
15hx4il,comparison
15gaf2a,reactions_and_reviews
15zio68,reactions_and_reviews
15w7jw4,skip
15o67bb,cultural_impact
15mk3oy,cultural_impact
15mgnc4,cultural_impact
15kzs0x,reactions_and_reviews
15iadg5,reactions_and_reviews
15eq975,reactions_and_reviews
15ep55f,skip
15e325d,reactions_and_reviews
15dho0y,reactions_and_reviews
159vfdf,reactions_and_reviews
158gx2a,reactions_and_reviews
156zt07,cultural_impact
156x186,reactions_and_reviews
16twdjh,box_office
163uwee,technical_aspects
15n0rtr,cultural_impact
15lb119,skip
15fesgo,cultural_impact
15af5t1,skip
158zrdz,comparison
157mqxz,skip
1571t6i,comparison
155s6gq,cultural_impact
155afzv,reactions_and_reviews
1539zwu,anticipation
